FIPS,COUNTY,STATE,POP,VETS,VET_PERCENT,CASES,YESTER_CASES,VET_CASES,VET_YESTER,LOWER_Hospitalizations,UPPER_Hospitalizations,DATE
27081,Lincoln,Minnesota,5639.0,390.880362533,0.0693173191227168,584.0,584.0,40.48131436766661,40.48131436766661,3.6292252612037097,7.0350038115834845,
27083,Lyon,Minnesota,25474.0,1340.7592807939998,0.0526324597940645,3647.0,3647.0,191.95058086895324,191.95058086895324,20.741050370728114,40.27198952979744,
27085,McLeod,Minnesota,35893.0,2336.303574539,0.0650907857949739,4331.0,4331.0,281.908193278032,281.908193278032,33.01203246280589,62.58672748821313,
27087,Mahnomen,Minnesota,5527.0,289.01380723,0.052291262390085,565.0,565.0,29.544563250398024,29.544563250398024,4.044749809436376,7.337498202171169,
27089,Marshall,Minnesota,9336.0,514.28039521,0.0550857321347472,888.0,888.0,48.916130135655514,48.916130135655514,4.856047313707572,9.205089828286388,
27091,Martin,Minnesota,19683.0,1524.977022406,0.0774768593408525,2357.0,2356.0,182.61295746638933,182.53548060704847,16.501504386001145,31.979045403775913,
27093,Meeker,Minnesota,23222.0,1482.199771948,0.0638273952264232,2645.0,2645.0,168.82346037388936,168.82346037388936,20.472284239358924,38.05804001892486,
27095,Mille Lacs,Minnesota,26277.0,1997.745475761,0.0760263909792213,3133.0,3131.0,238.19068293790033,238.0386301559419,27.92863208195626,53.7557070073169,
27097,Morrison,Minnesota,33386.0,2465.31599125,0.0738428081007008,4262.0,4260.0,314.71804812518684,314.57036250898545,36.56288564591921,70.36042317579309,
27099,Mower,Minnesota,40062.0,2397.867688201,0.0598539186311467,4752.0,4751.0,284.42582133520915,284.365967416578,27.152296279578906,51.75195688805317,
27101,Murray,Minnesota,8194.0,549.537629541,0.0670658566684159,1072.0,1072.0,71.89459834854185,71.89459834854185,6.591832527966453,12.448161559077562,
27103,Nicollet,Minnesota,34274.0,1707.063583832,0.0498063717054326,3325.0,3324.0,165.6061859205634,165.55637954885796,15.727952495550397,30.537243677912777,
27105,Nobles,Minnesota,21629.0,939.482798895,0.0434362568262517,4089.0,4087.0,177.6108541625432,177.5239816488907,16.893560973907245,32.44188015840601,
27107,Norman,Minnesota,6375.0,399.531123282,0.0626715487501176,549.0,548.0,34.406680263814565,34.34400871506445,3.3945523914048423,6.523188604555292,
27109,Olmsted,Minnesota,158293.0,8570.40250364,0.0541426500454221,13467.0,13467.0,729.1390681616994,729.1390681616994,65.58236256139104,128.81380044934255,
27111,Otter Tail,Minnesota,58746.0,4107.14859014,0.0699136722524086,5885.0,5883.0,411.44196120542466,411.3021338609198,45.94319618781482,86.80210304845005,
27113,Pennington,Minnesota,14119.0,871.8950748883001,0.0617533164450952,1538.0,1538.0,94.97660069255642,94.97660069255642,9.976334625792209,19.093653324538966,
27115,Pine,Minnesota,29579.0,2165.398971702,0.073207308282971,3365.0,3362.0,246.34259237219743,246.12297044734854,19.631185167248763,39.57832359241619,
27117,Pipestone,Minnesota,9126.0,541.4827202969,0.0593340697235261,1169.0,1169.0,69.36152750680202,69.36152750680202,7.503948360313782,14.038502912879892,
27119,Polk,Minnesota,31364.0,1813.696264703,0.0578273263838477,3899.0,3898.0,225.4687455706222,225.41091824423833,26.249217760362797,49.518852645323506,
27121,Pope,Minnesota,11249.0,818.4225236852,0.0727551358952084,1130.0,1130.0,82.2133035615855,82.2133035615855,7.615813391429738,14.503005914685662,
27123,Ramsey,Minnesota,550321.0,23568.6576227,0.0428271093102025,52766.0,52755.0,2259.815249862145,2259.3441516597327,230.88086492010802,449.39855084431747,
27125,Red Lake,Minnesota,4055.0,227.4857616352,0.0561000645216276,403.0,403.0,22.60832600221592,22.60832600221592,2.3971177933336785,4.479513392950501,
27127,Redwood,Minnesota,15170.0,958.715514534,0.0631981222500988,1769.0,1768.0,111.79747826042477,111.73428013817468,11.396545139617965,21.64522575765232,
27129,Renville,Minnesota,14548.0,914.039958264,0.0628292520115479,1827.0,1827.0,114.78904342509801,114.78904342509801,11.364458004227417,21.790163925818696,
