FIPS,COUNTY,STATE,AGEGROUP,CASES
04005,Coconino,Arizona,0 - 17 years,2170
04005,Coconino,Arizona,18 to 49 years,10515
04005,Coconino,Arizona,50 to 64 years,2617
04005,Coconino,Arizona,65+ years,1441
04007,Gila,Arizona,0 - 17 years,1024
04007,Gila,Arizona,18 to 49 years,2754
04007,Gila,Arizona,50 to 64 years,1386
04007,Gila,Arizona,65+ years,1260
04009,Graham,Arizona,0 - 17 years,539
04009,Graham,Arizona,18 to 49 years,3150
04009,Graham,Arizona,50 to 64 years,921
04009,Graham,Arizona,65+ years,549
04013,Maricopa,Arizona,0 - 17 years,64766
04013,Maricopa,Arizona,18 to 49 years,293536
04013,Maricopa,Arizona,50 to 64 years,98439
04013,Maricopa,Arizona,65+ years,62251
04015,Mohave,Arizona,0 - 17 years,2053
04015,Mohave,Arizona,18 to 49 years,8715
04015,Mohave,Arizona,50 to 64 years,5099
04015,Mohave,Arizona,65+ years,5818
04017,Navajo,Arizona,0 - 17 years,2308
04017,Navajo,Arizona,18 to 49 years,7475
04017,Navajo,Arizona,50 to 64 years,3271
04017,Navajo,Arizona,65+ years,2414
04019,Pima,Arizona,0 - 17 years,12230
04019,Pima,Arizona,18 to 49 years,62659
04019,Pima,Arizona,50 to 64 years,20607
04019,Pima,Arizona,65+ years,15576
04021,Pinal,Arizona,0 - 17 years,6030
04021,Pinal,Arizona,18 to 49 years,26343
04021,Pinal,Arizona,50 to 64 years,9161
04021,Pinal,Arizona,65+ years,7262
04023,Santa Cruz,Arizona,0 - 17 years,997
04023,Santa Cruz,Arizona,18 to 49 years,3896
04023,Santa Cruz,Arizona,50 to 64 years,1768
04023,Santa Cruz,Arizona,65+ years,1083
04025,Yavapai,Arizona,0 - 17 years,1616
04025,Yavapai,Arizona,18 to 49 years,7571
04025,Yavapai,Arizona,50 to 64 years,4009
04025,Yavapai,Arizona,65+ years,4823
04027,Yuma,Arizona,0 - 17 years,4124
04027,Yuma,Arizona,18 to 49 years,20045
04027,Yuma,Arizona,50 to 64 years,7552
04027,Yuma,Arizona,65+ years,4807
05005,Baxter,Arkansas,0 - 17 years,238
05005,Baxter,Arkansas,18 to 49 years,714
05005,Baxter,Arkansas,50 to 64 years,398
05005,Baxter,Arkansas,65+ years,598
05007,Benton,Arkansas,0 - 17 years,3436
05007,Benton,Arkansas,18 to 49 years,11291
05007,Benton,Arkansas,50 to 64 years,3542
05007,Benton,Arkansas,65+ years,2235
05009,Boone,Arkansas,0 - 17 years,277
05009,Boone,Arkansas,18 to 49 years,1169
05009,Boone,Arkansas,50 to 64 years,570
05009,Boone,Arkansas,65+ years,647
05015,Carroll,Arkansas,0 - 17 years,340
05015,Carroll,Arkansas,18 to 49 years,1011
05015,Carroll,Arkansas,50 to 64 years,475
05015,Carroll,Arkansas,65+ years,391
05019,Clark,Arkansas,0 - 17 years,188
05019,Clark,Arkansas,18 to 49 years,788
05019,Clark,Arkansas,50 to 64 years,288
05019,Clark,Arkansas,65+ years,221
05023,Cleburne,Arkansas,0 - 17 years,97
05023,Cleburne,Arkansas,18 to 49 years,476
05023,Cleburne,Arkansas,50 to 64 years,275
05023,Cleburne,Arkansas,65+ years,375
05027,Columbia,Arkansas,0 - 17 years,159
05027,Columbia,Arkansas,18 to 49 years,494
05027,Columbia,Arkansas,50 to 64 years,237
05027,Columbia,Arkansas,65+ years,215
05029,Conway,Arkansas,0 - 17 years,280
05029,Conway,Arkansas,18 to 49 years,693
05029,Conway,Arkansas,50 to 64 years,332
05029,Conway,Arkansas,65+ years,269
05031,Craighead,Arkansas,0 - 17 years,1510
05031,Craighead,Arkansas,18 to 49 years,6209
05031,Craighead,Arkansas,50 to 64 years,1852
05031,Craighead,Arkansas,65+ years,1514
05033,Crawford,Arkansas,0 - 17 years,773
05033,Crawford,Arkansas,18 to 49 years,2529
05033,Crawford,Arkansas,50 to 64 years,1175
05033,Crawford,Arkansas,65+ years,931
05035,Crittenden,Arkansas,0 - 17 years,743
05035,Crittenden,Arkansas,18 to 49 years,2672
05035,Crittenden,Arkansas,50 to 64 years,1099
05035,Crittenden,Arkansas,65+ years,720
05045,Faulkner,Arkansas,0 - 17 years,1426
05045,Faulkner,Arkansas,18 to 49 years,4957
05045,Faulkner,Arkansas,50 to 64 years,1501
05045,Faulkner,Arkansas,65+ years,1105
05051,Garland,Arkansas,0 - 17 years,1126
05051,Garland,Arkansas,18 to 49 years,3658
05051,Garland,Arkansas,50 to 64 years,1635
05051,Garland,Arkansas,65+ years,1681
05055,Greene,Arkansas,0 - 17 years,646
05055,Greene,Arkansas,18 to 49 years,2361
05055,Greene,Arkansas,50 to 64 years,924
05055,Greene,Arkansas,65+ years,648
05057,Hempstead,Arkansas,0 - 17 years,245
05057,Hempstead,Arkansas,18 to 49 years,585
05057,Hempstead,Arkansas,50 to 64 years,280
05057,Hempstead,Arkansas,65+ years,168
05059,Hot Spring,Arkansas,0 - 17 years,411
05059,Hot Spring,Arkansas,18 to 49 years,2059
05059,Hot Spring,Arkansas,50 to 64 years,800
05059,Hot Spring,Arkansas,65+ years,550
05063,Independence,Arkansas,0 - 17 years,248
05063,Independence,Arkansas,18 to 49 years,1241
05063,Independence,Arkansas,50 to 64 years,413
05063,Independence,Arkansas,65+ years,408
05069,Jefferson,Arkansas,0 - 17 years,524
05069,Jefferson,Arkansas,18 to 49 years,3451
05069,Jefferson,Arkansas,50 to 64 years,1371
05069,Jefferson,Arkansas,65+ years,878
05071,Johnson,Arkansas,0 - 17 years,388
05071,Johnson,Arkansas,18 to 49 years,1104
05071,Johnson,Arkansas,50 to 64 years,383
05071,Johnson,Arkansas,65+ years,347
05083,Logan,Arkansas,0 - 17 years,175
05083,Logan,Arkansas,18 to 49 years,704
05083,Logan,Arkansas,50 to 64 years,364
05083,Logan,Arkansas,65+ years,246
05085,Lonoke,Arkansas,0 - 17 years,677
05085,Lonoke,Arkansas,18 to 49 years,2352
05085,Lonoke,Arkansas,50 to 64 years,825
05085,Lonoke,Arkansas,65+ years,675
05091,Miller,Arkansas,0 - 17 years,200
05091,Miller,Arkansas,18 to 49 years,1183
05091,Miller,Arkansas,50 to 64 years,540
05091,Miller,Arkansas,65+ years,405
05093,Mississippi,Arkansas,0 - 17 years,721
05093,Mississippi,Arkansas,18 to 49 years,2426
05093,Mississippi,Arkansas,50 to 64 years,992
05093,Mississippi,Arkansas,65+ years,688
05103,Ouachita,Arkansas,0 - 17 years,243
05103,Ouachita,Arkansas,18 to 49 years,733
05103,Ouachita,Arkansas,50 to 64 years,415
05103,Ouachita,Arkansas,65+ years,357
05111,Poinsett,Arkansas,0 - 17 years,325
05111,Poinsett,Arkansas,18 to 49 years,1088
05111,Poinsett,Arkansas,50 to 64 years,572
05111,Poinsett,Arkansas,65+ years,538
05115,Pope,Arkansas,0 - 17 years,888
05115,Pope,Arkansas,18 to 49 years,3128
05115,Pope,Arkansas,50 to 64 years,1236
05115,Pope,Arkansas,65+ years,857
05119,Pulaski,Arkansas,0 - 17 years,4517
05119,Pulaski,Arkansas,18 to 49 years,17360
05119,Pulaski,Arkansas,50 to 64 years,6024
05119,Pulaski,Arkansas,65+ years,4265
05123,St. Francis,Arkansas,0 - 17 years,332
05123,St. Francis,Arkansas,18 to 49 years,1682
05123,St. Francis,Arkansas,50 to 64 years,680
05123,St. Francis,Arkansas,65+ years,318
05125,Saline,Arkansas,0 - 17 years,1475
05125,Saline,Arkansas,18 to 49 years,4394
05125,Saline,Arkansas,50 to 64 years,1405
05125,Saline,Arkansas,65+ years,1126
05131,Sebastian,Arkansas,0 - 17 years,1584
05131,Sebastian,Arkansas,18 to 49 years,5784
05131,Sebastian,Arkansas,50 to 64 years,2145
05131,Sebastian,Arkansas,65+ years,1734
05139,Union,Arkansas,0 - 17 years,327
05139,Union,Arkansas,18 to 49 years,1165
05139,Union,Arkansas,50 to 64 years,592
05139,Union,Arkansas,65+ years,607
05143,Washington,Arkansas,0 - 17 years,4071
